title,url
HBS Survey on U.S. Competitiveness,https://doi.org/10.7910/DVN1/22665
Multinational Enterprise Project,https://doi.org/10.7910/DVN/27846
HBS Survey on U.S. Competitiveness (2012-2015),https://doi.org/10.7910/DVN/MIYCIR
Diary Study Database,https://doi.org/10.7910/DVN/25463
Replication Data for: Landing the First Job: The Value of Intermediaries in Online Hiring,https://doi.org/10.7910/DVN/6LH7PO
Replication Data for: The Dynamics of Firm Lobbying,https://doi.org/10.7910/DVN/KQPRHN
Replication Data for: Do Private Equity Owned Firms Have Better Management Practices?,https://doi.org/10.7910/DVN/MNA7OA
Replication Data for: Barriers to Household Risk Management: Evidence from India ,https://doi.org/10.7910/DVN/RD10IO
Infogroup US Historical ,https://doi.org/10.7910/DVN/PNOFKI
Corporate Affiliations Historical Data Files,https://doi.org/10.7910/DVN/S451N7
Russell US Indexes,https://doi.org/10.7910/DVN/4KTFOQ
CDP Forests Data,https://doi.org/10.7910/DVN/BZD9T3
CDP Water Data,https://doi.org/10.7910/DVN/GCNU5L
CDP Climate Change: Supply Chain Data,https://doi.org/10.7910/DVN/IIEYNI
CDP Climate Change Data (Investor),https://doi.org/10.7910/DVN/FBXPTB
CDP Public Scores Data,https://doi.org/10.7910/DVN/RBXKBU
World Telecommunication/ICT Indicators Database,https://doi.org/10.7910/DVN/IP5UBV
Italians to America Passenger Data,https://doi.org/10.7910/DVN/XIFW05
"Census of Concentration Ratios, 1947, 1954, 1958, 1970, 1972 (M278)",https://doi.org/10.7910/DVN/CXE9UG
"Census Company Size Distribution Data, 1963 (M277)",https://doi.org/10.7910/DVN/2RRNDD
"Census Manufacturing Statistics, 1958-1976 (M280)",https://doi.org/10.7910/DVN/LRROMK
"Census and Input-Output Data, 1963 and 1972 (M276)",https://doi.org/10.7910/DVN/DZB0PT
"Census Establishment Size Distribution Data, 1963, 1967, 1972 (M279)",https://doi.org/10.7910/DVN/QAWUV5
Business,https://doi.org/10.7910/DVN/KJMKQR
 and Competition: Miscellaneous (M085),https://doi.org/10.7910/DVN/9PDB6B
"Capital Expenditures, 1955-1957 (M275)",https://doi.org/10.7910/DVN/CKZNYY
Study on the Establishment of China-Russia Free Trade Zone under the One Belt And One Road Initiative,https://doi.org/10.7910/DVN/S7IDYS
To make or to serve-industrial specialization drivers of foreign subsidiaries in service and manufacturing sectors across agglomerations in a transition economy,https://doi.org/10.7910/DVN/TSBAZS
