name,description,homepage,num_install_30d,num_install_90d,num_install_365d,num_install_on_request_30d,num_install_on_request_90d,num_install_on_request_365d,generated_date
a2ps,Any-to-PostScript filter,https://www.gnu.org/software/a2ps/,87,296,1116,87,295,1114,2021-08-21
a52dec,Library for decoding ATSC A/52 streams (AKA 'AC-3'),https://liba52.sourceforge.io/,52,161,807,17,68,413,2021-08-21
aacgain,AAC-supporting version of mp3gain,https://aacgain.altosdesign.com/,50,135,602,50,135,603,2021-08-21
aalib,Portable ASCII art graphics library,https://aa-project.sourceforge.io/aalib/,149,439,2277,119,358,1860,2021-08-21
aamath,Renders mathematical expressions as ASCII art,http://fuse.superglue.se/aamath/,32,56,183,32,56,183,2021-08-21
aardvark_shell_utils,Utilities to aid shell scripts or command-line users,http://www.laffeycomputer.com/shellutils.html,15,38,201,15,37,200,2021-08-21
abcde,Better CD Encoder,https://abcde.einval.com,52,164,879,52,163,866,2021-08-21
abcl,Armed Bear Common Lisp: a full implementation of Common Lisp,https://abcl.org/,28,80,452,28,80,436,2021-08-21
abcm2ps,ABC music notation software,http://moinejf.free.fr,38,99,380,38,99,376,2021-08-21
abcmidi,Converts abc music notation files to MIDI files,https://ifdo.ca/~seymour/runabc/top.html,31,242,1255,31,242,1235,2021-08-21
abduco,Provides session management: i.e. separate programs from terminals,https://www.brain-dump.org/projects/abduco,18,35,197,18,35,197,2021-08-21
abnfgen,Quickly generate random documents that match an ABFN grammar,http://www.quut.com/abnfgen/,1,6,31,1,6,31,2021-08-21
abook,Address book with mutt support,https://abook.sourceforge.io/,34,96,534,23,75,408,2021-08-21
abseil,C++ Common Libraries,https://abseil.io,3460,15774,75684,76,468,2241,2021-08-21
abuse,Dark 2D side-scrolling platform game,http://abuse.zoy.org/,18,79,300,18,78,299,2021-08-21
abyss,Genome sequence assembler for short reads,https://www.bcgsc.ca/resources/software/abyss,31,124,610,30,122,603,2021-08-21
ace,ADAPTIVE Communication Environment: OO network programming in C++,https://www.dre.vanderbilt.edu/~schmidt/ACE.html,73,222,1031,71,218,980,2021-08-21
aces_container,Reference implementation of SMPTE ST2065-4,https://github.com/ampas/aces_container,14,60,390,3,26,170,2021-08-21
ack,"Search tool like grep, but optimized for programmers",https://beyondgrep.com/,11668,37433,148826,11652,37387,147818,2021-08-21
acl2,Logic and programming language in which you can model computer systems,https://www.cs.utexas.edu/users/moore/acl2/index.html,46,113,340,46,113,340,2021-08-21
acme,Crossassembler for multiple environments,https://sourceforge.net/projects/acme-crossass/,241,865,5126,241,865,5116,2021-08-21
acmetool,Automatic certificate acquisition tool for ACME (Let's Encrypt),https://github.com/hlandau/acmetool,5,29,143,5,29,142,2021-08-21
acpica,OS-independent implementation of the ACPI specification,https://www.acpica.org/,114,219,1201,114,220,1188,2021-08-21
act,Run your GitHub Actions locally 🚀,https://github.com/nektos/act,4102,10563,29705,4104,10562,29709,2021-08-21
activemq,Apache ActiveMQ: powerful open source messaging server,https://activemq.apache.org/,560,1917,8075,561,1920,7999,2021-08-21
