recipe_name,description,ingredients,methods
"
                Oreo Chocolate Chip Cookies
            ","
                    Get creative in the kitchen with these Oreo chocolate chip cookies. This fun cookie within a cookie is great on its own and can be dunked in classic Oreo style. Makes 16 cookies.
                ","
                ,1 pack of Oreos,
440g softened butter,
170g light brown sugar,
                ,220g granulated sugar,
2 large eggs,
1 tablespoon vanilla extract,
                ,800g plain flour,
1 tablespoon baking soda,
280g chocolate chips","Preheat the oven to 350 degrees.,
,Cream the butter and sugars together in a stand or electric mixer. Add in the eggs and vanilla. Mix well.,
,Mix all the dry ingredients in a separate bowl and slowly add to the wet ingredients along with the chocolate chips. Don’t overmix.,
,Cover the top and bottom of the Oreo cookie each with a scoop of cookie dough. Cup the cookie with your hands to seal the edges.,
,Place on a baking sheet and bake for 9-13 minutes. Let them cool for 5 minutes and transfer to cooling rack.,
"
"
                Coronation Chicken Salad
            ","
                    This recipe draws inspiration from the traditional coronation chicken salad for maximum flavour, while giving it some modern convenience. Tangy and tasty, it combines all the right ingredients in just the right amounts and is absolutely divine served on some crusty bread. Sandwich it between two slices of ciabatta for a real gourmet sandwich that’s perfect for lunch or a light dinner. Serves 2 - 4
                ","
                ,Salt and pepper to taste,
300 g chicken breast fillet, cut into strips,
30 - 45 ml (2 - 3 tbsp.) olive oil,
1 onion, finely chopped,
30 ml (2 tbsp.) butter,
                ,30 ml (2 tbsp.) mild curry powder,
115 g Rhodes Tomato Paste,
2 bay leaves,
250 ml (1 cup) red wine,
                ,80 ml (⅓ cup) Rhodes Smooth Apricot Jam,
250 ml (1 cup) chicken stock,
250 ml (1 cup) mayonnaise,
125 ml (½ cup) plain yoghurt","Season the chicken and fry in the olive oil until lightly cooked. Set aside.,Fry the onion in the butter until soft, add the curry powder, Rhodes Tomato Paste and bay leaves. Cook for 2 minutes. Add the wine and simmer until it reduces and the mixture is almost dry.,Add the Rhodes Smooth Apricot Jam and the chicken stock and allow to reduce over low heat to a thick syrupy consistency. Set aside to cool.,In a large mixing bowl, combine 190 ml (¾ cup) of the reduced mixture with the mayonnaise and yoghurt. Season to taste and stir in the cooked chicken.,Refrigerate for 1 hour before serving.,
"
"
                Tuna Melt
            ","
                    It’s hard enough to turn down anything seasoned with melted cheese, let alone the creamy goodness of this tuna mayonnaise toasted sandwich. This gourmet ciabatta is perfect if you’re looking for decadent lunch ideas, with the spinach adding some extra nutrients. If you’re tired of the old toasty, try this baked sarmie – it turns an everyday favourite into a special treat.
                ","
                ,2 cans (187 g each) tuna chunks in water, drained,
125 ml (½ cup) mayonnaise,
                ,60 ml (¼ cup) Greek yoghurt,
250 ml (1 cup) grated mozzarella cheese,
                ,Salt and pepper,
4 ciabattas,
500 ml (2 cups) baby spinach","Preheat the oven to 200°C.,Mix the tuna, mayonnaise, yoghurt, cheese, salt and pepper.,Cut each ciabatta open and arrange the spinach on the bottom half, followed by the tuna mixture. Close the rolls and toast in the oven for 10 minutes or until the cheese in the mixture has melted. Serve immediately."
"
                Egg And Ham Cups
            ","
                    A bite-sized breakfast, from the heart.
                ","
                ,1 croissant,
2 large eggs, ,
                ,2 slices ham,
2-3 tbsp chutney,
,
                ,1 tbsp butter or margarine,
salt and pepper,
","Preheat the oven to 180ºC.,
,Cut the croissant in half and then into 2 heart shapes, using a heart-shaped cookie stencil.,
,Spread some chutney onto each slice of croissant.,
,Slice the ham slices in half to make heart-shaped slices, using the heart-shaped cookie stencil again.,
,Crack and fry your eggs in a frying pan.,
,Place the fried eggs on top of your heart-shaped ham and croissants, cutting around them so they’re also heart-shaped.,
,Season with a bit of salt and pepper."
"
                Chocolate Swirl Banana Bread
            ","
                    A traditional favourite, with a twist.
                ","
                ,4 mashed bananas,
½ cup of soft butter or margarine,
2 eggs,
                ,1 tsp vanilla essence,
1 cup of sugar,
1 tsp baking powder,
                ,½ teaspoon of salt,
1 ½ cups of white all-purpose flour,
2 tbsp chocolate syrup","Preheat the oven to 180ºC.,
,Mix together all your dry ingredients.,
,Next, mix together all your wet ingredients, except for the chocolate syrup.,
,Blend all your ingredients together in a mixing bowl.,
,Grease a bread pan and pour 1/3 of the mixture into the pan. Drizzle 1 tablespoon of the chocolate syrup on top of the mixture. ,
,Repeat this until all the mixture and syrup is poured into the pan.,
,Bake the bread for 50 minutes to 1 hour until it’s golden brown.,
,Serve with butter or jam."
"
                Cauliflower and Broccoli Soup
            ","
                    This easy-to-follow cauliflower and broccoli soup recipe has everything you need in a winter’s meal. Wholesome, hearty and creamy, it will be a hit on any chilly evening. If you want to add an extra dash of flavour, try sprinkling some crispy fried bacon pieces over the soup before serving it. Serves 6 – 8.
                ","
                ,2 heads broccoli,
2 heads cauliflower,
2 glasses water,
,
                ,½ cup of cream,
500 g ham,
Salt,
                ,Pepper,
Fresh mixed herbs","Put broccoli and cauliflower in a pot with water and add salt, pepper and mixed herbs.,
,Cook until the broccoli and cauliflower is al dente (tender but firm).,
,Blend the above mixture in a blender, then put back into the pot and add more herbs to your taste.,
,Add the ham and fresh cream.,
,Mix well.,
,Keep it on the heat for another 20 minutes so that the flavours can fuse.,
,Add bacon as a topping before serving.,
"
"
                Mex Tex Nachos
            ","
                    Originating in Mexico, it comes as no surprise that nachos are famed for taste, and the addition of mince to this specific recipe gives it that final, filling finish and flavour. This recipe is not only cost-effective, but makes for a versatile dish, which means that you can have it as a snack, a relaxed meal for two, or even as a fun treat for your family. Why not host a Mexican food evening and add these to the menu? Serves: 6–8 as a starter 4 as a main meal
                ","
                ,1 onion,
1 clove garlic,
1 tbsp. olive oil,
500 g beef mince,
1 can (410 g) of Tomatoes, Onions and Green Peppers,
                ,Salt and ground black pepper,
1 large packet corn chips,
250 ml Cheddar cheese, grated,
1 (50 g) sachet Tomato Paste,
                ,250 ml guacamole,
1 tsp. brown sugar,
125 ml sour cream,
Coriander leaves, chopped","Finely chop the onion and garlic. Fry in the oil until soft.,
,Add the mince and fry until browned.,
,Add the Tomatoes, Onions and Green Peppers, the tomato paste and sugar. Simmer for 30 minutes.,
,Season to taste.,
,Arrange the corn chips on an oven-safe platter, top with the mince and sprinkle with the cheese.,
,Bake in the oven (preheated to 180ºC) for 5 minutes or until the cheese has melted.,
,Serve with guacamole, sour cream and coriander."
"
                No Bake Unicorn Fudge
            ","
                    Whether you need kids party food ideas or just something to keep your family busy (while making a delicious kids snack), No Bake Unicorn Fudge is always a great idea! With a few simple ingredients (and no non kid-friendly equipment, like an oven) you’ll have a fun kid friendly recipe in no time.
                ","
                ,100g softened butter or margarine,
10 tbsp. condensed milk,
                ,1tsp. vanilla extract,
800g icing sugar,
                ,Food colouring of your choice,
Sprinkles of your choice","Cream your butter or margarine, condensed milk and vanilla extract together. Turn your mixer down to low, then add the icing sugar and mix gently until combined. When the mixture looks like breadcrumbs, use your hands to form it into a ball.,
,Split the mix into equally-sized balls (based on how many colours you want to make). Add a few drops of food colouring to each ball, then squeeze and knead to distribute the colour evenly. If the mixture feels too wet, add a little more icing sugar while kneading.,
,Grab little balls of each colour of fudge, then place them into the tray in your desired pattern. Once all your fudge is in the tray, press down hard on it with your hands to ensure it is combined in the tray.,
,Decorate with your desired sprinkles, press them lightly into the fudge, then cover and place into the fridge overnight (or into the freezer for an hour). Cut to your desired size and enjoy!"
"
                Chicken Barley Soup
            ","
                    Great for the whole family to enjoy whilst increasing milk production for mom.
                ","
                ,1 tbsp. olive oil,
1 onion (chopped),
1 punnet of button mushrooms (sliced),
2 carrots (peeled and diced),
2 garlic cloves (minced),
                ,450 g baby potatoes (cut into small pieces),
900 ml of vegetable broth,
1 cup water,
                ,½ cup pearl barley (rinsed),
2 skinless boneless chicken breasts (cut into small cubes),
1 cup frozen green peas","Heat a large pot over medium heat and add oil. Add onions and cook for about 3 minutes or until onions soften.,
,Add mushrooms, carrots, potatoes and garlic and cook for 3 minutes until mushrooms soften.,
,Add broth, water and barley and bring to the boil and then reduce heat to medium-low.,
,Leave the soup to simmer with the lid on for 25 minutes.,
,Add chicken and peas and cook for 10 minutes until chicken is cooked through."
"
                Creamy Mustard Chicken & Mushroom
            ","
                    Try this twist on popular chicken and mushroom recipes – an easy, creamy variant with wholegrain and Dijon mustard. The smooth sauce binds the ingredients effortlessly and its velvety composition is rich without being overwhelming. Be sure to make roast potatoes as they make for the perfect side to this saucy, soul-warming meal. Garnish with rosemary for that final finishing touch.
                ","
                ,Salt and freshly ground black pepper,
15 ml (1 tbsp.) wholegrain mustard,
15 ml (1 tbsp.) Dijon mustard,
                ,250 g mushrooms; sliced,
250 ml (1 cup) cream,
15 ml (1 tbsp.) oil,
                ,6 chicken pieces,
1 onion; sliced","Preheat the oven to 180 °C.,
,Season the chicken with salt and pepper.,
,Heat the oil and lightly brown the chicken.,
,Remove the pieces from the saucepan and fry the onion and mushrooms until done.,
,Stir in the cream and mustard and season with salt and pepper.,
,Place the chicken in an ovenproof dish and pour over the creamy mustard sauce. Bake for 30–40 minutes or until done.,
,Serve with roast potatoes."
